id,gene,n1,n2,n3,n4,descrizione1,descrizione2
280,p2@RB1,5925,9884,"F5H6G1,P06400",RB1,RB transcriptional corepressor 1,gene with protein product
281,p3@RB1,5925,9884,"P06400,Q92728",RB1,RB transcriptional corepressor 1,gene with protein product
282,p4@RB1,5925,9884,"P06400,Q92728",RB1,RB transcriptional corepressor 1,gene with protein product
283,p1@RB1,5925,9884,"P06400,Q92728",RB1,RB transcriptional corepressor 1,gene with protein product
284,p6@RB1,5925,9884,"P06400,Q92728",RB1,RB transcriptional corepressor 1,gene with protein product
285,p8@RB1,5925,9884,,RB1,RB transcriptional corepressor 1,gene with protein product
286,p5@RB1,5925,9884,,RB1,RB transcriptional corepressor 1,gene with protein product
287,p2@XRCC3,7517,12830,,XRCC3,X-ray repair cross complementing 3,gene with protein product
288,p1@XRCC3,7517,12830,"O43542,G3V2P3,G3V399,G3V3Q2,G3V3C8,G3V5K0,Q53XC8",XRCC3,X-ray repair cross complementing 3,gene with protein product
289,p2@AKT1,207,391,P31749,AKT1,AKT serine/threonine kinase 1,gene with protein product
290,p1@AKT1,207,391,"P31749,B0LPE5",AKT1,AKT serine/threonine kinase 1,gene with protein product
291,p2@MMP14,4323,7160,P50281,MMP14,matrix metallopeptidase 14,gene with protein product
292,p1@MMP14,4323,7160,"F8VP90,P50281",MMP14,matrix metallopeptidase 14,gene with protein product
293,p3@MMP14,4323,7160,F8VP90,MMP14,matrix metallopeptidase 14,gene with protein product
294,p4@MMP14,4323,7160,F8VP90,MMP14,matrix metallopeptidase 14,gene with protein product
295,p5@MMP14,4323,7160,F8VP90,MMP14,matrix metallopeptidase 14,gene with protein product
296,p6@MMP14,4323,7160,,MMP14,matrix metallopeptidase 14,gene with protein product
297,p7@MMP14,4323,7160,,MMP14,matrix metallopeptidase 14,gene with protein product
298,p11@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
299,p3@FOXA1,3169,5021,G3V4B9,FOXA1,forkhead box A1,gene with protein product
300,p1@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
301,p4@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
302,p7@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
303,p12@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
304,p5@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
305,p2@FOXA1,3169,5021,P55317,FOXA1,forkhead box A1,gene with protein product
306,p9@FOXA1,3169,5021,,FOXA1,forkhead box A1,gene with protein product
307,p13@FOXA1,3169,5021,B7ZAP5,FOXA1,forkhead box A1,gene with protein product
308,p28@HIF1A,3091,4910,B4E2U7,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
309,p1@HIF1A,3091,4910,"F8W9L0,B4E2U7",HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
310,p2@HIF1A,3091,4910,"Q16665,A8MYV6",HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
311,p3@HIF1A,3091,4910,"Q16665,A8MYV6",HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
312,p27@HIF1A,3091,4910,"C0LZJ3,F8W9L0,Q16665",HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
313,p7@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
314,p4@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
315,p5@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
316,p8@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
317,p6@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
318,p11@HIF1A,3091,4910,,HIF1A,hypoxia inducible factor 1 alpha subunit,gene with protein product
319,p2@ESR2,2100,3468,Q92731,ESR2,estrogen receptor 2,gene with protein product
320,p5@ESR2,2100,3468,Q92731,ESR2,estrogen receptor 2,gene with protein product
321,p1@ESR2,2100,3468,Q92731,ESR2,estrogen receptor 2,gene with protein product
322,p14@ESR2,2100,3468,"F5GWJ8,G3V5S2,F1D8N3,Q92731,Q7LCB3",ESR2,estrogen receptor 2,gene with protein product
323,p10@ESR2,2100,3468,,ESR2,estrogen receptor 2,gene with protein product
324,p3@ESR2,2100,3468,,ESR2,estrogen receptor 2,gene with protein product
325,p1@RAD51,5888,9817,"Q06609,Q6ZNA8,E9PJ30",RAD51,RAD51 recombinase,gene with protein product
326,p2@RAD51,5888,9817,E9PJ30,RAD51,RAD51 recombinase,gene with protein product
327,p5@RAD51,5888,9817,Q9NZG9,RAD51,RAD51 recombinase,gene with protein product
328,p10@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
329,p3@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
330,p7@CYP19A1,1588,2594,P11511,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
331,p14@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
332,p5@CYP19A1,1588,2594,"Q8IYJ7,F5GXR9",CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
333,p2@CYP19A1,1588,2594,"Q8IYJ7,F5GXR9",CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
334,p6@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
335,p16@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
336,p4@CYP19A1,1588,2594,,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
337,p1@CYP19A1,1588,2594,"P11511,E9PGZ6,E7EQ08,E7EPL6,Q8IYG4,Q8TCA4,A8K6W3,Q05CU4",CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
338,p15@CYP19A1,1588,2594,P11511,CYP19A1,cytochrome P450 family 19 subfamily A member 1,gene with protein product
339,p1@CYP1A1,1543,2595,"P04798,A0N0X8,A4F3V9",CYP1A1,cytochrome P450 family 1 subfamily A member 1,gene with protein product
340,p13@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
341,p1@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
342,p5@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
343,p17@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
344,p4@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
345,p8@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
346,p50@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
347,p2@IGF1R,3480,5465,P08069,IGF1R,insulin like growth factor 1 receptor,gene with protein product
348,p51@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
349,p49@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
350,p16@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
351,p35@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
352,p14@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
353,p21@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
354,p10@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
355,p11@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
356,p52@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
357,p29@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
358,p3@IGF1R,3480,5465,,IGF1R,insulin like growth factor 1 receptor,gene with protein product
359,p1@PALB2,79728,26144,Q86YC2,PALB2,partner and localizer of BRCA2,gene with protein product
360,p9@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
361,p1@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
362,p2@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
363,p7@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
364,p6@SULT1A1,6817,11453,,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
365,p3@SULT1A1,6817,11453,,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
366,p10@SULT1A1,6817,11453,,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
367,p4@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
368,p8@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
369,p5@SULT1A1,6817,11453,P50225,SULT1A1,sulfotransferase family 1A member 1,gene with protein product
370,p15@MAPK3,5595,6877,,MAPK3,mitogen-activated protein kinase 3,gene with protein product
371,p2@MAPK3,5595,6877,"E9PRH7,B3KR49",MAPK3,mitogen-activated protein kinase 3,gene with protein product
372,p6@MAPK3,5595,6877,E9PRH7,MAPK3,mitogen-activated protein kinase 3,gene with protein product
373,p5@MAPK3,5595,6877,,MAPK3,mitogen-activated protein kinase 3,gene with protein product
374,p3@MAPK3,5595,6877,,MAPK3,mitogen-activated protein kinase 3,gene with protein product
375,p1@MAPK3,5595,6877,"P27361,E9PQW4",MAPK3,mitogen-activated protein kinase 3,gene with protein product
376,p3@TOX3,27324,11972,"O15405,B4DRD0",TOX3,TOX high mobility group box family member 3,gene with protein product
377,p2@TOX3,27324,11972,"O15405,B4DRD0",TOX3,TOX high mobility group box family member 3,gene with protein product
378,p1@TOX3,27324,11972,"O15405,B4DRD0",TOX3,TOX high mobility group box family member 3,gene with protein product
379,p8@TOX3,27324,11972,B4DRD0,TOX3,TOX high mobility group box family member 3,gene with protein product
380,p3@MMP2,4313,7166,P08253,MMP2,matrix metallopeptidase 2,gene with protein product
381,p2@MMP2,4313,7166,P08253,MMP2,matrix metallopeptidase 2,gene with protein product
382,p1@MMP2,4313,7166,P08253,MMP2,matrix metallopeptidase 2,gene with protein product
383,p6@MMP2,4313,7166,Q2EF79,MMP2,matrix metallopeptidase 2,gene with protein product
384,p4@MMP2,4313,7166,Q2EF79,MMP2,matrix metallopeptidase 2,gene with protein product
385,p7@MMP2,4313,7166,,MMP2,matrix metallopeptidase 2,gene with protein product
386,p5@MMP2,4313,7166,,MMP2,matrix metallopeptidase 2,gene with protein product
387,p8@MMP2,4313,7166,,MMP2,matrix metallopeptidase 2,gene with protein product
388,p1@CDH1,999,1748,"F5GYI6,A8K1U7,P12830,Q9UII8",CDH1,cadherin 1,gene with protein product
389,p3@CDH1,999,1748,,CDH1,cadherin 1,gene with protein product
390,p2@CDH1,999,1748,P12830,CDH1,cadherin 1,gene with protein product
391,p2@NQO1,1728,2874,,NQO1,NAD(P)H quinone dehydrogenase 1,gene with protein product
392,p1@NQO1,1728,2874,B4DLR8,NQO1,NAD(P)H quinone dehydrogenase 1,gene with protein product
393,p1@CCL2,6347,10618,P13500,CCL2,C-C motif chemokine ligand 2,gene with protein product
394,p20@CCL2,6347,10618,,CCL2,C-C motif chemokine ligand 2,gene with protein product
395,p2@CCL2,6347,10618,,CCL2,C-C motif chemokine ligand 2,gene with protein product
396,p21@CCL2,6347,10618,,CCL2,C-C motif chemokine ligand 2,gene with protein product
397,p4@ERBB2,2064,3430,"P04626,Q9UK79",ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
398,p5@ERBB2,2064,3430,"P04626,Q9UK79",ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
399,p6@ERBB2,2064,3430,B4DTR1,ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
400,p3@ERBB2,2064,3430,B4DTR1,ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
401,p2@ERBB2,2064,3430,P04626,ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
402,p1@ERBB2,2064,3430,P04626,ERBB2,erb-b2 receptor tyrosine kinase 2,gene with protein product
403,p4@TOP2A,7153,11989,,TOP2A,topoisomerase (DNA) II alpha,gene with protein product
404,p1@TOP2A,7153,11989,C9J5P2,TOP2A,topoisomerase (DNA) II alpha,gene with protein product
405,p2@TOP2A,7153,11989,C9J5P2,TOP2A,topoisomerase (DNA) II alpha,gene with protein product
406,p17@STAT3,6774,11364,,STAT3,signal transducer and activator of transcription 3,gene with protein product
407,p14@STAT3,6774,11364,,STAT3,signal transducer and activator of transcription 3,gene with protein product
408,p12@STAT3,6774,11364,,STAT3,signal transducer and activator of transcription 3,gene with protein product
409,p24@STAT3,6774,11364,,STAT3,signal transducer and activator of transcription 3,gene with protein product
410,p7@STAT3,6774,11364,,STAT3,signal transducer and activator of transcription 3,gene with protein product
411,p1@STAT3,6774,11364,P40763,STAT3,signal transducer and activator of transcription 3,gene with protein product
412,p2@STAT3,6774,11364,P40763,STAT3,signal transducer and activator of transcription 3,gene with protein product
413,p3@STAT3,6774,11364,P40763,STAT3,signal transducer and activator of transcription 3,gene with protein product
414,p1@HSD17B1,3292,5210,B4DU11,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,gene with protein product
415,p12@BRCA1,672,1100,,BRCA1,"BRCA1, DNA repair associated",gene with protein product
416,p6@BRCA1,672,1100,"E7EWN5,E7ENB7",BRCA1,"BRCA1, DNA repair associated",gene with protein product
417,p1@BRCA1,672,1100,"P38398,E7EN90,E9PH68,E7EUM2,E7ETR2,E9PFZ0,B7ZA85",BRCA1,"BRCA1, DNA repair associated",gene with protein product
418,p5@BRCA1,672,1100,"F8W8H7,P38398,E9PFC7,Q3LRJ6,Q6IN79,Q1RMC1",BRCA1,"BRCA1, DNA repair associated",gene with protein product
419,p3@BRCA1,672,1100,P38398,BRCA1,"BRCA1, DNA repair associated",gene with protein product
420,p2@BRCA1,672,1100,P38398,BRCA1,"BRCA1, DNA repair associated",gene with protein product
421,p4@BRCA1,672,1100,P38398,BRCA1,"BRCA1, DNA repair associated",gene with protein product
422,p3@ITGB3,3690,6156,"P05106,Q2YFE1",ITGB3,integrin subunit beta 3,gene with protein product
423,p2@ITGB3,3690,6156,"P05106,Q2YFE1",ITGB3,integrin subunit beta 3,gene with protein product
424,p1@ITGB3,3690,6156,"P05106,Q2YFE1",ITGB3,integrin subunit beta 3,gene with protein product
425,"p1@NME1,p3@NME1-NME2,p3@NME2","4830,4831,654364","7849,33531,7850","P15531,P22392,E5RHP0,E7ERL0,Q32Q12",NME1,NME/NM23 nucleoside diphosphate kinase 1,gene with protein product
426,p2@NME1,4830,7849,P15531,NME1,NME/NM23 nucleoside diphosphate kinase 1,gene with protein product
427,p1@RAD51C,5889,9820,"O43502,O43503,E9PI66,Q7KZJ0",RAD51C,RAD51 paralog C,gene with protein product
428,p2@RAD51C,5889,9820,O43503,RAD51C,RAD51 paralog C,gene with protein product
429,p3@RAD51C,5889,9820,,RAD51C,RAD51 paralog C,gene with protein product
430,p7@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
431,p4@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
432,p6@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
433,p2@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
434,p1@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
435,p8@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
436,p3@MIR21,406991,31586,,MIR21,microRNA 21,"RNA, micro"
437,p3@BRIP1,83990,20473,Q9BX63,BRIP1,BRCA1 interacting protein C-terminal helicase 1,gene with protein product
438,p2@BRIP1,83990,20473,Q9BX63,BRIP1,BRCA1 interacting protein C-terminal helicase 1,gene with protein product
439,p1@BRIP1,83990,20473,Q9BX63,BRIP1,BRCA1 interacting protein C-terminal helicase 1,gene with protein product
440,p7@TP53,7157,11998,,TP53,tumor protein p53,gene with protein product
441,p21@TP53,7157,11998,P04637,TP53,tumor protein p53,gene with protein product
442,p20@TP53,7157,11998,E7EMR6,TP53,tumor protein p53,gene with protein product
443,p1@TP53,7157,11998,"E7ERV1,P04637,E7ESS1",TP53,tumor protein p53,gene with protein product
444,p1@BIRC5,332,593,,BIRC5,baculoviral IAP repeat containing 5,gene with protein product
445,p2@BIRC5,332,593,,BIRC5,baculoviral IAP repeat containing 5,gene with protein product
446,p6@BCL2,596,990,Q96PA0,BCL2,"BCL2, apoptosis regulator",gene with protein product
447,p3@BCL2,596,990,A9QXG9,BCL2,"BCL2, apoptosis regulator",gene with protein product
448,p14@BCL2,596,990,P10415,BCL2,"BCL2, apoptosis regulator",gene with protein product
449,p4@BCL2,596,990,,BCL2,"BCL2, apoptosis regulator",gene with protein product
450,p7@BCL2,596,990,,BCL2,"BCL2, apoptosis regulator",gene with protein product
451,p2@BCL2,596,990,,BCL2,"BCL2, apoptosis regulator",gene with protein product
452,p1@BCL2,596,990,P10415,BCL2,"BCL2, apoptosis regulator",gene with protein product
453,p5@BCL2,596,990,P10415,BCL2,"BCL2, apoptosis regulator",gene with protein product
454,p2@SERPINB5,5268,8949,P36952,SERPINB5,serpin family B member 5,gene with protein product
455,p1@SERPINB5,5268,8949,,SERPINB5,serpin family B member 5,gene with protein product
456,p3@TYMS,7298,12441,"P04818,Q53Y97,Q8WYK3,Q8WYK4",TYMS,thymidylate synthetase,gene with protein product
457,p2@TYMS,7298,12441,"P04818,Q53Y97,Q8WYK3,Q8WYK4",TYMS,thymidylate synthetase,gene with protein product
458,p1@TYMS,7298,12441,"Q8WYK3,Q8WYK4",TYMS,thymidylate synthetase,gene with protein product
459,p4@TYMS,7298,12441,"Q8WYK3,Q8WYK4",TYMS,thymidylate synthetase,gene with protein product
460,p5@TYMS,7298,12441,"Q8WYK4,Q8WYK3,Q53Y97",TYMS,thymidylate synthetase,gene with protein product
461,p3@DNMT1,1786,2976,,DNMT1,DNA methyltransferase 1,gene with protein product
462,p5@DNMT1,1786,2976,,DNMT1,DNA methyltransferase 1,gene with protein product
463,p1@DNMT1,1786,2976,"P26358,F5GX68",DNMT1,DNA methyltransferase 1,gene with protein product
464,p2@DNMT1,1786,2976,"P26358,F5GX68",DNMT1,DNA methyltransferase 1,gene with protein product
465,p1@CCNE1,898,1589,"P24864,C9J2U0",CCNE1,cyclin E1,gene with protein product
466,p8@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
467,p18@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
468,p13@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
469,p6@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
470,p9@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
471,p10@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
472,p4@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
473,p19@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
474,p11@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
475,p2@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
476,p5@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
477,p3@TGFB1,7040,11766,,TGFB1,transforming growth factor beta 1,gene with protein product
478,p1@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
479,p7@TGFB1,7040,11766,P01137,TGFB1,transforming growth factor beta 1,gene with protein product
480,p1@XRCC1,7515,12828,"P18887,B4DEB2,F5H8D7,B2RCY5,Q59HH7",XRCC1,X-ray repair cross complementing 1,gene with protein product
481,p2@XRCC1,7515,12828,"P18887,B2RCY5,Q59HH7",XRCC1,X-ray repair cross complementing 1,gene with protein product
482,p1@ERCC2,2068,3434,"B4E0F6,Q7KZU6,E7EVE9,P18074",ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",gene with protein product
483,p5@ERCC1,2067,3433,,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
484,p2@ERCC1,2067,3433,"Q7Z7F5,B2RC01",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
485,p3@ERCC1,2067,3433,F5GWP0,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
486,p1@ERCC1,2067,3433,"P07992,Q96S40,F5GWP0,B2RC01",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
487,p12@ERCC1,2067,3433,"P07992,Q96S40,B2RC01",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
488,p4@ERCC1,2067,3433,"P07992,Q96S40,B2RC01",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
489,p7@ERCC1,2067,3433,B3KRR0,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
490,p6@ERCC1,2067,3433,B3KRR0,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product
491,p2@ELAVL1,1994,3312,,ELAVL1,ELAV like RNA binding protein 1,gene with protein product
492,p1@ELAVL1,1994,3312,Q15717,ELAVL1,ELAV like RNA binding protein 1,gene with protein product
493,p1@PIN1,5300,8988,"Q13526,E7EQR5",PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",gene with protein product
494,p1@GSTM1,2944,4632,P09488,GSTM1,glutathione S-transferase mu 1,gene with protein product
495,p2@GSTM1,2944,4632,P09488,GSTM1,glutathione S-transferase mu 1,gene with protein product
496,p2@MTOR,2475,3942,P42345,MTOR,mechanistic target of rapamycin,gene with protein product
497,p1@MTOR,2475,3942,"F5GYA6,P42345",MTOR,mechanistic target of rapamycin,gene with protein product
498,p15@MTHFR,4524,7436,P42898,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
499,p7@MTHFR,4524,7436,P42898,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
500,p1@MTHFR,4524,7436,P42898,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
501,p6@MTHFR,4524,7436,P42898,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
502,p11@MTHFR,4524,7436,"P42898,Q5SNW7,Q8IU67",MTHFR,methylenetetrahydrofolate reductase,gene with protein product
503,p5@MTHFR,4524,7436,Q5SNW5,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
504,p4@MTHFR,4524,7436,Q5SNW5,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
505,p3@MTHFR,4524,7436,Q5SNW5,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
506,p2@MTHFR,4524,7436,P42898,MTHFR,methylenetetrahydrofolate reductase,gene with protein product
507,p4@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
508,p6@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
509,p10@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
510,p1@MUC1,4582,7508,"A5YRV1,B1AVQ5,E7EUW3,P15941,Q0VAP5,Q0VAP6,Q7Z551,Q7Z550,Q7Z538,A5YRU5,A5YRU7,A5YRV0,A5YRV2,A6ZID6,A6ZID7,A6ZID9,A6ZIE0,A6ZIE4,B6ECB3,A6ZIE6,B1AVR0,Q7Z541",MUC1,"mucin 1, cell surface associated",gene with protein product
511,p3@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
512,p18@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
513,p2@MUC1,4582,7508,,MUC1,"mucin 1, cell surface associated",gene with protein product
514,p5@PTGS2,5743,9605,,PTGS2,prostaglandin-endoperoxide synthase 2,gene with protein product
515,p2@PTGS2,5743,9605,D9MWI3,PTGS2,prostaglandin-endoperoxide synthase 2,gene with protein product
516,p1@PTGS2,5743,9605,P35354,PTGS2,prostaglandin-endoperoxide synthase 2,gene with protein product
517,p3@IL10,3586,5962,,IL10,interleukin 10,gene with protein product
518,p2@IL10,3586,5962,,IL10,interleukin 10,gene with protein product
519,p6@IL10,3586,5962,,IL10,interleukin 10,gene with protein product
520,p4@IL10,3586,5962,Q71UZ1,IL10,interleukin 10,gene with protein product
521,p5@IL10,3586,5962,,IL10,interleukin 10,gene with protein product
522,p1@IL10,3586,5962,"P22301,Q6FGW4",IL10,interleukin 10,gene with protein product
523,p10@IL10,3586,5962,,IL10,interleukin 10,gene with protein product
524,p3@PARP1,142,270,F8WC10,PARP1,poly(ADP-ribose) polymerase 1,gene with protein product
525,p2@PARP1,142,270,P09874,PARP1,poly(ADP-ribose) polymerase 1,gene with protein product
526,p1@PARP1,142,270,"Q5VX84,P09874",PARP1,poly(ADP-ribose) polymerase 1,gene with protein product
527,p20@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
528,p15@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
529,p17@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
530,p10@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
531,p7@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
532,p1@YBX1,4904,8014,P67809,YBX1,Y-box binding protein 1,gene with protein product
533,p5@YBX1,4904,8014,,YBX1,Y-box binding protein 1,gene with protein product
534,p3@YBX1,4904,8014,,YBX1,Y-box binding protein 1,gene with protein product
535,p6@YBX1,4904,8014,,YBX1,Y-box binding protein 1,gene with protein product
536,p2@YBX1,4904,8014,,YBX1,Y-box binding protein 1,gene with protein product
537,p4@YBX1,4904,8014,,YBX1,Y-box binding protein 1,gene with protein product
538,p11@YBX1,4904,8014,A0JLU4,YBX1,Y-box binding protein 1,gene with protein product
539,p4@JUN,3725,6204,P05412,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",gene with protein product
540,p3@JUN,3725,6204,P05412,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",gene with protein product
541,p1@JUN,3725,6204,P05412,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",gene with protein product
542,p2@JUN,3725,6204,P05412,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",gene with protein product
543,p5@JUN,3725,6204,P05412,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",gene with protein product
544,p4@LEPR,3953,6554,,LEPR,leptin receptor,gene with protein product
545,p7@LEPR,3953,6554,,LEPR,leptin receptor,gene with protein product
546,"p1@LEPROT,p1@LEPR","3953,54741","6554,29477","P48357,A2RRQ4",LEPR,leptin receptor,gene with protein product
547,p5@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
548,p12@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
549,p8@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
550,p13@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
551,p3@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
552,p14@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
553,p11@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
554,p15@LEPR,3953,6554,"P48357,Q4G138",LEPR,leptin receptor,gene with protein product
